ACN,Narrative,Result,Synopsis,timeline_text,normalized_summary
2303197,Starting a 90 degree right turn on ramp.  Traffic (tug that pulls the baggage carts) was northbound; traffic appeared after we started our turn. FO states traffic is not slowing down I started applying the brakes to slow.  The FO states he's not stopping I then stopped the aircraft to prevent a collision.  I called the back to see how they; FA's; were doing.  The number one said he hit his head and was bleeding.  Taxied back to the gate. Cause: If rampers stopped for approaching aircraft. And if the AC (Aircraft) could have been pushed back further into the ramp. We would not have been so close to the road the ramp traffic drives on.,Flight Crew Returned To Gate; Flight Crew Took Evasive Action; General Flight Cancelled / Delayed; General Physical Injury / Incapacitation,Air carrier Captain reported having to stop the aircraft due to a ground vehicle not yielding. Captain reported a Flight Attendant injury and subsequent return to the gate.,Started a 90-degree right turn on ramp; a northbound tug appeared after the turn began and did not slow; crew applied brakes and then stopped the aircraft to prevent a collision; cockpit crew checked the cabin and a flight attendant reported hitting his head and bleeding; taxied back to the gate.,"Crew stopped the aircraft during a ramp turn to avoid a collision with a northbound tug; the aircraft returned to the gate and one flight attendant sustained a head injury with bleeding, resulting in flight delay/cancellation."
2303317,On takeoff from ZZZ in accordance with company takeoff SOP; upon reaching approx. 300 - 400 both ECU (Engine Control Unit) A and B annunciations appeared. Crew immediately requested priority handling due to the windy conditions; low altitude; and possible imminent engine loss. Crew immediately notified tower they would be conducting a low level right turn for a low right pattern to land on [runway] XX. Upon starting the turn; ECU A extinguished but ECU B was latched. Crew completed the necessary and appropriate checklists and ran QRH. Crew then accomplished successful landing with taxi to FBO with no further occurrences to report.,Flight Crew FLC complied w / Automation / Advisory; Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed,DA40 pilot reported a dual loss of the Engine Control Unit on initial climb. Flight returned to the field and accomplished a successful landing.,"Takeoff from ZZZ in accordance with company SOP; at approx. 300 - 400 both ECU A and B annunciations appeared; crew requested priority handling due to windy conditions, low altitude, and possible imminent engine loss; crew notified tower they would conduct a low-level right turn for a low-right pattern to land on runway XX; during the turn ECU A extinguished but ECU B remained latched; crew completed required checklists and ran the QRH; crew landed successfully and taxied to the FBO with no further occurrences.","On initial climb after takeoff from ZZZ both ECU A and B annunciations illuminated, with ECU B latched; the crew requested priority handling, ran checklists/QRH, executed a low-right return to the departure airport, and landed safely, taxiing to the FBO."
2303503,I entered Aircraft X with my student after reviewing his preflight preparation for a cross country flight from ZZZ to ZZZ1. Heading out to the aircraft; which was already preflighted by my student; nothing appeared out of the ordinary. What wasn't noticed was the tow bar left in the front of the aircraft. We entered the aircraft and ran the before start and engine start checklist. When my student engaged the aircraft starter; the propeller struck the tow and launched it approximately 10 to 15 feet to the left. My student disengaged the starter and shut down the aircraft. A small dent is on the propeller; and the engine is pending review by the aircraft's owners.,Aircraft Aircraft Damaged; General Flight Cancelled / Delayed; General Maintenance Action,PA-28 Flight Instructor and student reported the propeller striking the tow bar upon engine start. Flight was cancelled.,"Reviewed student's preflight; entered aircraft which had been preflighted by student; tow bar left in front of aircraft was not noticed; ran before-start and engine-start checklists; student engaged starter and propeller struck the tow bar, launching it about 10–15 feet to the left; student disengaged starter and shut down engine; small dent observed on propeller and engine is pending review; flight cancelled/delayed and maintenance action required.","During engine start the propeller struck a tow bar left in front of the aircraft, launching it ~10–15 feet and causing a small dent to the propeller; the flight was cancelled/delayed and maintenance/engine review is pending."
2303590,Flight from ZZZ1 to ZZZ airport under day VFR.  Flight was uneventful and weather was beautiful.  Landed on runway XX and taxied to the transient ramp. I stopped my airplane perpendicular to the ramp directly in front of my desired tiedown spot so that I was positioned correctly to push back into the spot.  As I was accomplishing the engine shutdown checklist; my right seat passenger alerted me to an aircraft which was rapidly approaching from the right. By the time I looked up; the wingtip of the taxing aircraft was about two seconds away from striking my propeller. Before I could shut my engine down (which was at idle; with the rotating beacon still on); Aircraft Y's left wingtip struck my propeller sending bits and pieces into my cowling; windshield and elevator as well as the ramp area in front of my plane. Aircraft Y stopped about 100 feet later and shut down. The pilot came over to my aircraft to apologize and admitted the incident was entirely his fault. He said his airplane had just completed its annual inspection and he was just taxiing it back to his hangar. He was watching his wingtip clearance to his right and said he never looked to his left where I was located. He also stated he hadn't felt well that day and seemed a bit dazed by what had just happened. Contributing factors were his physical/mental health being less than ideal; his failure to adequately clear his taxi route and taxiing too fast. My propeller substantially damaged approximately 12 inches of his left wingtip. My prop and windshield were also damaged. My engine will require an inspection to determine if it was damaged.,Aircraft Aircraft Damaged; General Flight Cancelled / Delayed; General Maintenance Action,Pilot reported a taxiing aircraft collided with their parked aircraft on the ramp.,"Flight from ZZZ1 to ZZZ landed on runway XX and taxied to the transient ramp; pilot stopped aircraft perpendicular to the ramp in front of desired tiedown and began engine shutdown checklist; right-seat passenger alerted pilot to an aircraft rapidly approaching from the right; before engine could be shut down, Aircraft Y's left wingtip struck the propeller, sending debris into the cowling, windshield, elevator and ramp; Aircraft Y stopped about 100 feet later and shut down; Aircraft Y pilot admitted fault, citing not clearing his taxi route, taxiing too fast, and feeling unwell; propeller and windshield were damaged, approximately 12 inches of Aircraft Y's left wingtip was substantially damaged, and the engine will require inspection; result recorded as aircraft damaged, flight canceled/delayed, and maintenance action required","While stopped on the transient ramp after landing, another aircraft taxied into the right side and its left wingtip struck the stopped aircraft's propeller. The collision damaged the propeller, windshield and elevator, substantially damaged about 12 inches of the other aircraft's left wingtip, and requires an engine inspection; the incident resulted in flight cancellation/delay and maintenance action."
2303603,The flight was planned from ZZZ2 to ZZZ3 to ZZZ4 and then back to ZZZ2. Overall; the flight was planned for just under 3 hours. Weather and airfield information supported our flight. The preflight; ground operations; and initial departure were uneventful. After takeoff; ATC permitted navigation and altitude at our discretion. We climbed to 7500 FT enroute to ZZZ3. Approximately 40 minutes into the flight; I detected abnormal engine sounds and reduced engine performance. I then immediately took action to maintain positive aircraft control while the pilot not flying continued to analyze the instruments. After recognizing the issue was engine related; I told the pilot not flying to find the nearest airport for a precautionary landing. The closest airport was ZZZ1. I began a turn directly to ZZZ1 while capturing the appropriate glide airspeed per the flight manual. While I was doing this the pilot not flying began checklist procedures for engine roughness/misfire. After the pilot not flying completed the checklist; engine performance was remedied. From there we could once again maintain airspeed and altitude. With the added engine performance; I began a climb as we approached ZZZ1 in case the engine completely failed. After the pilot not flying completed the emergency and normal checklists; the pilot not flying continued to gather information about ZZZ1 to prepare for the landing. As we continued to ZZZ1; we realized that we might be able to safely arrive at ZZZ. ZZZ was more suitable because unlike ZZZ1; the runway was longer; paved and illuminated. As such; we continued to climb enroute to ZZZ1 to maximize options so that if the engine failed we would still be able to land at ZZZ1 but also if we could gain enough altitude we could safely arrive at ZZZ with safer landing condition. Once the pilot not flying said we gained enough altitude to safely glide to ZZZ; we began heading to ZZZ. During this time the pilot not flying continued to coordinate with ATC and requested priority handling. Later ATC cleared us to switch to CTAF frequency. The pilot not flying made the CTAF calls to announce our intentions. The pilot not flying also activated the runway lighting system. I continued to maintain positive control of the aircraft and performed a safe landing on Runway XX. After landing we taxied to park and shutdown the engine. After shutdown; the pilot not flying immediately informed ATC of our arrival by phone. I do not know what caused the issue but using the checklist greatly helped the situation.,Air Traffic Control Provided Assistance; Flight Crew Landed in Emergency Condition; Flight Crew Diverted; Flight Crew Overcame Equipment Problem; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed,A C172 pilot reported a rough running engine and diverted to a nearby suitable airport.,"Flight planned ZZZ2→ZZZ3→ZZZ4→ZZZ2 and departed uneventfully; climbed to 7,500 ft enroute to ZZZ3; ~40 minutes into flight detected abnormal engine sounds and reduced engine performance; PF maintained control while PNF analyzed instruments and identified engine issue and selected nearest airport ZZZ1; turned toward ZZZ1 and captured glide airspeed while PNF ran engine roughness/misfire checklist; checklist remedied engine performance and airspeed/altitude were maintained; crew climbed to retain options and elected to proceed to ZZZ (longer, paved, illuminated runway) while coordinating with ATC; switched to CTAF, activated runway lighting, and landed safely on Runway XX; taxied to parking, shutdown engine, and PNF notified ATC by phone","Approximately 40 minutes into cruise the crew experienced engine roughness/reduced engine performance; after executing checklists and coordinating with ATC they diverted to a longer, paved, illuminated airport (ZZZ) and landed safely, then shut down and notified ATC."
2303771,During pushback; flight attendants reported an electrical burning smell in the aft cabin; but it dissipated quickly.  After second engine start the entire aircraft including the flight deck filled with strong fuel fumes.  Immediate return to gate. All crew members taken to hospital for tests of carbon monoxide poisoning.   All crew members had varying levels of carbon monoxide poisoning.  Crew deadheaded back following day.Cause: Repeat write up on this aircraft and known airbus issue.,Flight Crew Returned To Gate; General Flight Cancelled / Delayed; General Physical Injury / Incapacitation,A321 pilot reported fumes in cabin and cockpit during push back resulting in a return to the gate. Crew members went to the hospital where they were found to have signs of CO poisoning.,During pushback flight attendants reported an electrical burning smell in the aft cabin which dissipated quickly; after second engine start the entire aircraft including the flight deck filled with strong fuel fumes; the flight immediately returned to the gate; all crew members were taken to hospital for carbon monoxide tests and were found to have varying levels of carbon monoxide poisoning; crew deadheaded back the following day.,"After second engine start the aircraft filled with strong fuel fumes, prompting an immediate return to the gate; crew were hospitalized and found to have varying levels of carbon monoxide poisoning, and the flight was canceled/delayed."
2303795,The flight was delayed due to maintenance swapping the number 1 and 3 ADIRUs and deferring the number 3. All indications were normal as we taxied to and lined up on runway XX. I set the thrust in the flex temp and cross checked the instruments; indications were normal.  As the aircraft built speed going down the runway; I could tell that my airspeed indications were slow to come up. At the 80 kt check; my airspeed had just started to register. At about the same time; I got red flashing FD (Flight Director) and multiple ECAM cautions. I called the abort and brought the thrust levers to max reverse.  I tried to disconnect the auto brakes and take over manually to make the abort less violent; but they wouldn't disconnect.  We came to a stop on the runway with the auto brakes still in max. I told my FO to disconnect the brakes; he cycled the anti-skid switch and the brakes disconnected.  I gave the remain in your seats PA to the flight attendants and passengers.  We exited the runway and taxied back to the gate. On our first leg; ZZZ1 to ZZZ; we got an unreliable airspeed on takeoff. We followed the procedure and determined that the airspeed on the captains PFD (Primary Flight Display) was unreliable. We switched Air Data to Capt 3 on the Switching panel and that restored my airspeed.  I ACARSed dispatch and let them know of the problem and that we would need maintenance in ZZZ. We continued to ZZZ without further incident. That was the reason for the maintenance in ZZZ; we can't defer ADIRU 1.  Whatever the mechanics did in ZZZ; made the problem worse.,Flight Crew Rejected Takeoff; Flight Crew Returned To Gate; General Flight Cancelled / Delayed,A320 flight crew reported unreliable airspeed indicator during takeoff roll. Flight crew rejected takeoff.,"Maintenance swapped ADIRU 1 and 3 and deferred ADIRU 3; taxied and lined up with indications normal and set flex thrust; during takeoff roll airspeed indications were slow to come up and at 80 kt airspeed had just started as red flashing FD and multiple ECAM cautions appeared; crew rejected the takeoff and selected max reverse; autobrakes remained engaged at max and would not disconnect until the FO cycled the anti-skid switch; crew gave remain-seated PA, exited the runway and taxied back to the gate; flight was subsequently canceled/delayed.",During the takeoff roll unreliable/slow airspeed indications and multiple ECAM cautions led the crew to reject the takeoff; the aircraft stopped on the runway with autobrakes stuck at max but were later disconnected and the flight returned to the gate. The flight was canceled/delayed.
2303835,At approximately 130 kts we received a master warning engine failure message. I rejected the take off and we accomplished the rejected takeoff off checklist and all appropriate checklists. After CFR (Crash Fire Rescue) cleared the aircraft we cleared the runway to let the brakes cool. After brakes cooled we were towed to the gate,Air Traffic Control Provided Assistance; Flight Crew Returned To Gate; Flight Crew Rejected Takeoff; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed,B777 flight crew reported engine failure on takeoff roll. Flight crew rejected the takeoff.,At approximately 130 kts received a master warning engine failure message; rejected the takeoff and completed the rejected takeoff checklist and all appropriate checklists; Crash Fire Rescue (CFR) cleared the aircraft; cleared the runway to let the brakes cool; after brakes cooled the aircraft was towed to the gate,"During the takeoff roll at about 130 kts the crew received an engine-failure master warning and rejected the takeoff, completing required checklists. After CFR cleared the aircraft they cleared the runway, cooled the brakes, and were towed back to the gate, resulting in return to gate and flight delay/cancellation."
2303861,After a standard pushback and a normal start on engine two the First Officer proceeded to start engine one. The First Officer stated that N2 was not observed. The First Officer then questioned if the bleeds were configured correctly. We verified the configuration to be correct. We then attempted another start on engine one; once again no N2 was observed along with a starter valve open indication. We then entered a logbook entry for engine failure to start with no N2 observed. We called Dispatch and asked for a patch with Maintenance Control. Maintenance Control notified us that a gate return was necessary. After coordinating with Operations and Ramp that we needed to return to the gate. Approximately five minutes had passed a master fire alarm for the number one engine illuminated along with the associated bells. We then actioned ENGINE OVERHEAT; immediate action items. That directed us to the ENGINE FIRE or ENGINE SEVERE DAMAGE or SEPARATION checklist; followed by the QRC/QRH. We then advised that we had an indication of a fire in the number one engine and requested ARFF (Airport Rescue and Firefighting). I then called the purser to view the number one engine and see if there was any indication of smoke or fire. The purser stated no observable; fire or smoke; and she stated that she would keep an eye on the number one engine. Ramp gave no indication of observable; fire or smoke. ARFF arrived and indicated there wasn't any observable fire or smoke. We then coordinated a gate return after Airport Rescue and Firefighters indicated all clear.,Flight Crew FLC complied w / Automation / Advisory; Flight Crew Returned To Gate; General Flight Cancelled / Delayed,B737 flight crew reported an overheat and subsequent fire indication on engine during push back. Crew secured engine and returned to gate.,"Pushback and engine two start normal; First Officer attempted engine one start and observed no N2; bleed configuration verified correct; second start attempt on engine one again showed no N2 and a starter valve open indication; crew logged engine failure to start and contacted Dispatch and Maintenance Control, who required a gate return; coordinated return with Operations and Ramp; approximately five minutes later master fire alarm and associated bells for engine one illuminated; crew executed ENGINE OVERHEAT immediate actions and followed the ENGINE FIRE/SEVERE DAMAGE/SEPARATION checklist and QRC/QRH; requested ARFF and purser/ramp observed no visible fire or smoke; ARFF confirmed no observable fire or smoke and cleared; crew returned to the gate and the flight was canceled/delayed.","Engine one failed to start (no N2) and a subsequent master fire alarm prompted execution of engine overheat/fire procedures; ARFF found no fire, the aircraft returned to the gate, and the flight was canceled/delayed."
2303889,We completed preflight duties; push back; and taxi out uneventfully. When cleared for takeoff I set 40% N1 and allowed the engines to stabilize. I then stood the thrust levers up and selected the TOGA switch. When the auto throttles engaged; I felt the left thrust lever advance to a greater TLA (Throttle Lever Angle) than the right and the aircraft began to be pushed to the right as a result of the asymmetrical thrust. I called for a rejected takeoff; performed the appropriate actions; and ran the RTO (Rejected Takeoff) checklist. I estimate our top speed during the takeoff roll to be 20 knots. We contacted maintenance and ultimately elected to return to the gate where maintenance personnel pulled the aircraft from service in order to complete inspections and repairs as needed.,Flight Crew Rejected Takeoff; Flight Crew Returned To Gate; General Flight Cancelled / Delayed; General Maintenance Action,Air carrier Captain reported a rejected takeoff due to asymmetrical thrust. Flight returned to gate.,"Completed preflight duties; push back and taxi out uneventful; cleared for takeoff, set 40% N1 and allowed engines to stabilize; stood thrust levers up and selected TOGA; autothrottles engaged and left thrust lever advanced to a greater TLA than the right, causing the aircraft to be pushed to the right; crew called rejected takeoff, performed RTO actions and ran the RTO checklist (estimated top speed ~20 knots); contacted maintenance and returned to the gate where maintenance pulled the aircraft from service for inspections/repairs.","Autothrottle asymmetry during TOGA caused the left thrust lever to advance more than the right, pushing the aircraft to the right. The crew executed a rejected takeoff at about 20 knots, returned to the gate, and maintenance removed the aircraft from service for inspection/repair."
2303985,During pushing inflight crew called and reported there was a burning smell in the aft of the aircraft and that they were in the process of locating the source. After the second engine started; inflight informed us the smell had become stronger. In the flight deck the smell of fuel became very clear. After a discussion and evaluating the situation we determined that returning to the gate was the safest option for the passengers and crew. After deplaning the entire crew was transported to the hospital and was found to have higher than normal levels of CO2 in our blood.Cause: Repeat write up for this aircraft. The only way to prevent this from happening again is to locate source of fumes.,Flight Crew Returned To Gate; General Flight Cancelled / Delayed; General Evacuated,Air carrier pilot reported while being pushed back from the gate being advised from the cabin crew of a burning smell in the aft of the aircraft and the flight crew experienced a fuel smell in the flight deck resulting in the flight crew returning to the gate and deplaning the passengers and crew.,During pushback crew reported a burning smell in the aft of the aircraft while locating the source; after the second engine started crew reported the smell had become stronger; in the flight deck a fuel smell became very clear; crew discussed and decided returning to the gate was the safest option; aircraft returned to the gate and passengers deplaned/evacuated; entire crew transported to the hospital and found to have higher-than-normal CO2 levels; flight was cancelled/delayed.,"Crew reported a burning/fuel smell during pushback that intensified after the second engine start, prompting a return to the gate; passengers were deplaned/evacuated and the crew was taken to hospital with elevated CO2 levels, and the flight was cancelled or delayed."
2303987,During normal arrival phase in weather ATC vectored us behind a 777 to intercept the final approach course at 2;500 feet outside of ZZZZZ; cleared us for the approach; and instructed us to maintain 180 IAS to ZZZZZ1 (FAF). As PM I noticed the decreasing range to the heavy aircraft in front and instructed the FO (First Officer) (PF) to start slowing 2 miles early; however on switch to the Tower the Tower Controller told us the separation wasn't going to work and directed a go around at approximately 1;400 AGL to 2;000' and runway heading. We were IMC almost the whole time. FO did a great job and the GA and subsequent approach were normal.Cause: It was a rainy; windy; low visibility day in the area. Approach Controller put us in a high workload corner and the Tower Controller made the GA call since we were IMC. The obvious mitigation is more separation with heavy 777 traffic. It just didn't work today for an approach however we had fuel and time on our side. I could tell the strain on ATC is starting to show. They remained professional and noticeably measured in tough conditions.,Air Traffic Control Issued New Clearance; Flight Crew Executed Go Around / Missed Approach; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed,B737 Captain reported ATC issued go around instructions on short final due to less than required spacing behind a preceding heavy jet.,"ATC vectored aircraft behind a 777 to intercept final approach course at 2,500 ft outside ZZZZZ; cleared for the approach and instructed to maintain 180 IAS to ZZZZZ1 (FAF); PM noted decreasing range to the heavy and instructed FO (PF) to start slowing 2 miles early; on switch to Tower, Tower advised separation wouldn't work and directed a go-around at approximately 1,400 AGL to 2,000' and runway heading; FO executed the missed approach/GA in IMC; subsequent approach was normal.","Flight was vectored behind a heavy 777 in IMC, but Tower determined separation was insufficient and directed a go-around at about 1,400 AGL; the crew executed the missed approach and later completed a normal subsequent approach."
2303995,When taking the active Runway 20L in BKK we suddenly noticed rocks covering the takeoff area and giant chunks of asphalt. It seems that previous departing aircraft blew a hole in the runway. I turned to taxi past it on the left edge of the runway and notified Tower. Aircraft Y's crew said our right engine went over an area of rocks. So we shut down the right engine and taxied back to the gate. We wrote it up to FOD check both engines. Aircraft signed off after inspection and engine run. Cause: Previous aircraft blew a hole in the runway on takeoff. It appeared that the hole was from a previous patch.,Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Gate; General Flight Cancelled / Delayed; General Maintenance Action,Air carrier Captain reported a previous departing aircraft blew a hole in the runway at BKK and due to the rocks and giant chunks of asphalt now present on the takeoff area; the flight crew taxied back to the gate to check for potential FOD damage.,"During takeoff on Runway 20L crew noticed rocks and large chunks of asphalt covering the takeoff area; observed a hole in the runway believed to be blown by a previous departing aircraft; turned to taxi along the left edge and notified Tower; another crew reported our right engine went over an area of rocks; crew shut down the right engine and taxied back to the gate; wrote up the event for FOD check of both engines; maintenance inspected, performed an engine run, and signed the aircraft off.","While taking Runway 20L the crew encountered rocks and large asphalt chunks from a runway hole believed to have been caused by a previous departure; after the right engine ran over rocks the crew shut it down, returned to the gate, requested ATC assistance, and maintenance inspected and signed the aircraft back into service, causing delay."
2304040,Abnormal vibrations were felt in CA and FO rudder pedals during climb out of ZZZZ.  The vibrations were constant but irregular. They were high frequency and made our feet tingle/sting when on the rudder pedals.  I called the flight attendants and asked them to check the cabin for any unusual vibrations.  At first they reported none; then they reported hearing and feeling vibrations in the forward galley and around row 9.  FO stayed as PF and took over the radios while I contacted Dispatch and Maintenance via SATCOM.  Maintenance saw nothing unusual in their systems. MX (Maintenance) initially hinted they wanted us to continue to ZZZ; but we were not certain it was prudent to continue. So next they hinted at going to ZZZ or ZZZ1.  However upon consultation with entire crew; the decision was made to divert to ZZZ2.  At this point we were almost equal time from ZZZZ and ZZZ2; and ZZZ2 is a Maintenance base.  The crew agreed this was a good choice.  We ran the diversion checklist and overweight landing checklist  No code was given; no emergency was declared.  Overweight landing at 176;200 lbs (321Neo). 100fpm at touchdown.  We requested and were cleared to land on ZZZ2 Rwy XX; since it was longer that Rwy XY. CA flew the approach and landing due to the overweight condition.  Logbook entires for vibration and overweight landing.  Vibration Report filled out in full detail.  Debriefed and discussed at length with maintenance control.  Flight continued to ZZZ three hours later.  Passengers were kept informed throughout the diversion; delay at ZZZ2; and on the continuation of the flight.  They were generally appreciative of being kept informed and understood we put safety first.,Air Traffic Control Provided Assistance; Flight Crew Diverted; Flight Crew Requested ATC Assistance / Clarification; General Maintenance Action; General Flight Cancelled / Delayed,Air carrier Captain reported vibrations in the rudder pedals and flight attendant reported vibrations in the cabin. Flight diverted to nearest airport as a result.,"Abnormal high-frequency vibrations felt in CA and FO rudder pedals during climb out of ZZZZ; flight attendants checked cabin and reported vibrations in forward galley and around row 9; FO remained PF and handled radios while CA contacted Dispatch and Maintenance via SATCOM; Maintenance reported no anomalies and initially suggested continuing to ZZZ or ZZZ1; crew consulted and decided to divert to ZZZ2 (a maintenance base), roughly equal time from ZZZZ and ZZZ2; crew ran diversion and overweight landing checklists and requested/received clearance to land on ZZZ2 Rwy XX (longer than Rwy XY); CA flew the approach and performed an overweight landing at 176,200 lbs with a 100 fpm touchdown; no emergency was declared; logbook and vibration report were completed and the flight continued to ZZZ three hours later","Abnormal high-frequency vibrations were felt in the pilots' rudder pedals and reported in the cabin during climb out from ZZZZ; the crew diverted to maintenance base ZZZ2 and conducted an overweight landing (176,200 lbs) without declaring an emergency, then continued to ZZZ three hours later."
2304052,We were dealing with an APU not doing a great job of cooling the aircraft while on the ground in ZZZ. The cockpit temperature never got below 90 and the cabin remained at 84/82. Knowing we had a 20 minute flight back to ZZZ1; we elected to continue. Performance mandated we take off in the opposite direction in ZZZ using runway XX. The push was delayed 10 minutes for ground traffic out to runway XX. Startup and taxi went normally but the interior started heating up after engine start. Temps hovered at 98 in the cockpit and 88/84 in the cabin. We were hoping to hustle because once airborne the plane would start cooling off. Ground told us takeoff would be delayed at least 20 minutes due to arriving and departing traffic.After a 10 minute sit waiting for takeoff; we got an Master Caution Light and ECAM message stating a fuel overheat condition in the left wingtip fuel tank. The temperature was 57 C and in less than 20 seconds it climbed to and hit 72 C. We accomplished the ECAM actions shutting down the left generator and left engine. We were now obligated to return to the gate.We asked for a taxi back but ground stated we could not taxi back for at least 20 minutes. In the meantime the right wingtip fuel was overheating hitting about 58 C when we made the decision to advise ATC to gain traffic priority. We got an immediate back taxi down the runway and returned to our pad location. We accomplished the remaining ECAM actions once parked; shutting down the right generator and right engine. The temp reached 68C in the right tank at shutdown. Cabin air temps remained at the previous highs of 98/88/84 during the whole incident.I exited the cockpit and asked the passengers to quickly but orderly depart the aircraft down the front and rear airstairs. We were concerned about how high the temperatures actually went in the fuel tanks. Ground fire fighting crews rolled and monitored the fuel tank temperatures. The passengers were calm and the exit was swift and orderly. I asked my inflight crew to go with the passengers and had my first officer manage the arriving staff while I cleaned up the remaining checklist items and shut down the aircraft.,Air Traffic Control Provided Assistance; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Gate; General Flight Cancelled / Delayed,A320 Captain reported returning to the gate after noting high fuel temperatures during taxi.,"APU cooling inadequate on ground and crew elected to continue for short flight; push delayed and during startup/taxi interior temperatures rose; while holding for takeoff a Master Caution and ECAM reported left wingtip fuel overheat with rapid temperature rise; crew followed ECAM, shut down left generator and left engine and decided to return to the gate; ground initially would not allow taxi back and right wingtip began overheating, so crew requested ATC priority and received immediate back-taxi to the pad; once parked crew completed ECAM actions shutting down right generator and right engine; passengers were evacuated via front and rear airstairs while fire crews monitored fuel tank temperatures","During a pre-departure delay the crew received fuel overheat warnings in the wingtip tanks; they shut down the affected generators and engines, returned to the gate, evacuated passengers, and ground fire crews monitored tank temperatures."
2304243,"Safety Report - Jet Bridge Contact Incident at Gate XX A/C XDate of Incident: Day 0Location: Gate XXSubject: Jet Bridge Contact with Aircraft Door 1L and Subsequent Management ConductSummary of Event:On Day 0; maintenance personnel were dispatched to Gate XX in response to an incident in which the jet bridge contacted the aircraft at the 1L boarding door. The contact resulted in the door being lifted approximately three to five (3-5) inches above its normal seated position.Upon inspection; maintenance personnel expressed concern regarding potential damage to the door hinges and the possibility of hidden or non-visible structural damage caused by the vertical displacement. Given the nature of the contact and the potential safety implications; maintenance deemed it necessary to perform a thorough evaluation prior to determining the aircraft's airworthiness.Concerns Raised:During the course of the event; members of management were observed pressuring maintenance personnel to expedite the evaluation and sign off the discrepancy. It was also stated that individuals outside the maintenance department had characterized the mechanics' assessment as exaggerated. Furthermore; management insinuated that maintenance personnel were engaging in a job action"" or ""work slowdown;"" implying that the delay in clearing the aircraft was deliberate rather than safety-driven.Safety Implications:Such behavior from management undermines the integrity of the maintenance decision-making process and creates an environment where personnel may feel pressured to prioritize operational schedules over safety and regulatory compliance. This incident highlights an ongoing concern regarding conflicting priorities between maintaining on-time performance and ensuring that all aircraft discrepancies are properly inspected and resolved in accordance with maintenance standards and FAA regulations.Conclusion:Maintenance personnel acted in accordance with established procedures and their regulatory responsibility to ensure aircraft safety prior to return to service. The interference and insinuations from management during this incident are inconsistent with the company's stated commitment to a ""safety first"" culture and should be reviewed to prevent recurrence.Suggested Resolution:  Reinforce Maintenance Authority and Safety Protocols; Reiterate to all operational and management personnel that only qualified maintenance staff have the authority to determine airworthiness and sign off mechanical discrepancies. Provide refresher training or communication emphasizing that safety-related inspections cannot be influenced or expedited by non-maintenance personnel; Reaffirm the company's commitment to a ""safety first"" culture by addressing instances of pressure or interference promptly and transparently.""",General Flight Cancelled / Delayed; General Maintenance Action,Air carrier technician reported they were dispatched to a B737-800 at the gate to evaluate possible damage to door 1 left due to the jet bridge contacting the door and lifting it.,"Jet bridge contacted aircraft at 1L boarding door, lifting the door approximately 3-5 inches; maintenance personnel dispatched to Gate XX and inspected the door; maintenance raised concerns about possible hinge and hidden structural damage and required a thorough evaluation before determining airworthiness; management pressured maintenance to expedite the evaluation and sign off, and insinuated a deliberate work slowdown; maintenance followed procedures and withheld clearance pending evaluation; flight cancelled/delayed and general maintenance action recorded.","A jet bridge contacted the aircraft at door 1L, lifting the door 3–5 inches; maintenance withheld return-to-service pending further evaluation for potential hinge/structural damage while management pressured staff. The event resulted in a flight cancellation/delay and general maintenance action."
