 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
2303103,202511,1801-2400,,,,,,600,,,,,,,,,FBO,DA40 Diamond Star,,,Part 91,,Training,,Climb,,,,,,,,,,,,,,,,,,,,,,,,,,Door,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Trainee,Flight Crew Student,,,,,,2303103,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport; General Flight Cancelled / Delayed,Aircraft,Aircraft,"At approximately 600 feet agl; on the upwind; Flight Instructor (IP) noticed door open annunciation and realized the rear door was cracked open and then IP went to immediately close rear door but it unlatched and within seconds; flew/ripped clean off. IP took controls and Student Pilot (SP) held down bags and items in rear seat while we flew back to runway XX. Door is suspected to be in the ocean. We landed safely and taxied back. No damage to the tail or any other part of the plane.",,,,"DA40 student pilot reported that the rear door separated from the aircraft during climb. Flight landed safely.",
2303193,202511,1201-1800,ZZZ.Airport,US,,,0,,,,,,,,,Tower ZZZ,Air Carrier,A321,,2,Part 121,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,,,,2303193,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Rejected Takeoff; General Flight Cancelled / Delayed,Aircraft,Aircraft,"Discontinued takeoff due to engine failure. Had trouble trying to make comms with Airport Rescue and Firefighting (ARFF) when they arrived. Cause: Working engine.",,,,"A321 NEO flight crew reported a rejected takeoff due to an engine failure.",
2303197,202511,1201-1800,CLT.Airport,NC,,,0,,,,,,,,,Ramp CLT,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,,,,2303197,,,,,,,,,,,,Conflict Ground Conflict; Critical; Flight Deck / Cabin / Aircraft Event Illness / Injury,,,Person Flight Crew,Taxi,Flight Crew Returned To Gate; Flight Crew Took Evasive Action; General Flight Cancelled / Delayed; General Physical Injury / Incapacitation,Airport; Human Factors; Company Policy,Airport,"Starting a 90 degree right turn on ramp.  Traffic (tug that pulls the baggage carts) was northbound; traffic appeared after we started our turn. FO states traffic is not slowing down I started applying the brakes to slow.  The FO states he's not stopping I then stopped the aircraft to prevent a collision.  I called the back to see how they; FA's; were doing.  The number one said he hit his head and was bleeding.  Taxied back to the gate. Cause: If rampers stopped for approaching aircraft. And if the AC (Aircraft) could have been pushed back further into the ramp. We would not have been so close to the road the ramp traffic drives on.",,,,"Air carrier Captain reported having to stop the aircraft due to a ground vehicle not yielding. Captain reported a Flight Attendant injury and subsequent return to the gate.",
2303317,202511,1801-2400,ZZZ.Airport,US,,,,300,,,,,,,,Tower ZZZ,FBO,DA40 Diamond Star,,,Part 91,,Training,,Takeoff / Launch,,Class D ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Engine Control,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Instructor,Flight Crew Flight Instructor,,,Time Pressure,,,2303317,,,,,,,,,,,,Aircraft Equipment Problem Critical; Inflight Event / Encounter Weather / Turbulence,,,Automation Aircraft Other Automation,In-flight,Flight Crew FLC complied w / Automation / Advisory; Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed,Aircraft,Aircraft,"On takeoff from ZZZ in accordance with company takeoff SOP; upon reaching approx. 300 - 400 both ECU (Engine Control Unit) A and B annunciations appeared. Crew immediately requested priority handling due to the windy conditions; low altitude; and possible imminent engine loss. Crew immediately notified tower they would be conducting a low level right turn for a low right pattern to land on [runway] XX. Upon starting the turn; ECU A extinguished but ECU B was latched. Crew completed the necessary and appropriate checklists and ran QRH. Crew then accomplished successful landing with taxi to FBO with no further occurrences to report.",,,,"DA40 pilot reported a dual loss of the Engine Control Unit on initial climb. Flight returned to the field and accomplished a successful landing.",
2303503,202511,1801-2400,ZZZ.Airport,US,,,0,,,VMC,,,,,,,FBO,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,,,Part 91,VFR,Training,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Instructor,Flight Crew Commercial; Flight Crew Flight Instructor,,,Training / Qualification; Situational Awareness,,,2303503,Aircraft X,Flight Deck,FBO,Trainee,Flight Crew Student,Flight Crew Last 90 Days 48.5; Flight Crew Total 48.5; Flight Crew Type 48.5,,Situational Awareness; Training / Qualification,,,2303505,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Object,,,Person Flight Crew,Pre-flight,Aircraft Aircraft Damaged; General Flight Cancelled / Delayed; General Maintenance Action,Human Factors; Environment - Non Weather Related,Human Factors,"I entered Aircraft X with my student after reviewing his preflight preparation for a cross country flight from ZZZ to ZZZ1. Heading out to the aircraft; which was already preflighted by my student; nothing appeared out of the ordinary. What wasn't noticed was the tow bar left in the front of the aircraft. We entered the aircraft and ran the before start and engine start checklist. When my student engaged the aircraft starter; the propeller struck the tow and launched it approximately 10 to 15 feet to the left. My student disengaged the starter and shut down the aircraft. A small dent is on the propeller; and the engine is pending review by the aircraft's owners.",,"I; the student; had a time block from XB:00-XE:00; I got to the FBO at about XA:20 and preflighted the plane thoroughly checking all the boxes. I had a night-flight to ZZZ planned with my nav log and all the calculations prepared. However; the plane was filled to tabs which was right at the limit for legality and for my own limit. I walked back into the FBO and asked for it to get filled back up. My instructors showed up at around XB:00 and we both walked out and did one last walk around the plane. Checked oil; sumped; and removed the chains. The ramp was poorly lit and there was a light behind the plane which casted a shadow onto the front of the plane. We got into the plane; continued with our checklist and got all the way to the start checklist. I briefed how I was going to start the engine and then began. I pushed the starter button in and then heard a loud bang and instantly let go of the starter. The prop only did a half of a rotation before I let go and then instantly started my shutoff checklist. Once it was shut down; we got outside to see what it was and saw a tow bar laying around 15 feet away from the plane just about under the left wing tip. We instantly tied down the plane made sure everything was shut off and secured and then called the person who was at the FBO and they came out and inspected the damage. The prop scraped off some the paint from the towbar and had no visual fractures on it. Tow bar was bent at the part where it connects to the wheel.",,"PA-28 Flight Instructor and student reported the propeller striking the tow bar upon engine start. Flight was cancelled.",
2303590,202511,1201-1800,ZZZ.Airport,US,,,,,,,20,,,4500,,UNICOM ZZZ,Personal,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,1,Part 91,VFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICOM ZZZ,Personal,Small Aircraft,,1,Part 91,VFR,Personal,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,Flight Crew Last 90 Days 18; Flight Crew Total 18500; Flight Crew Type 670,,Time Pressure; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,2303590,,,,,,,,,,,,Aircraft Equipment Problem Critical; Conflict Ground Conflict; Less Severe; Ground Event / Encounter Aircraft,,,Person Flight Crew,Aircraft In Service At Gate,Aircraft Aircraft Damaged; General Flight Cancelled / Delayed; General Maintenance Action,Procedure; Human Factors,Human Factors,"Flight from ZZZ1 to ZZZ airport under day VFR.  Flight was uneventful and weather was beautiful.  Landed on runway XX and taxied to the transient ramp. I stopped my airplane perpendicular to the ramp directly in front of my desired tiedown spot so that I was positioned correctly to push back into the spot.  As I was accomplishing the engine shutdown checklist; my right seat passenger alerted me to an aircraft which was rapidly approaching from the right. By the time I looked up; the wingtip of the taxing aircraft was about two seconds away from striking my propeller. Before I could shut my engine down (which was at idle; with the rotating beacon still on); Aircraft Y's left wingtip struck my propeller sending bits and pieces into my cowling; windshield and elevator as well as the ramp area in front of my plane. Aircraft Y stopped about 100 feet later and shut down. The pilot came over to my aircraft to apologize and admitted the incident was entirely his fault. He said his airplane had just completed its annual inspection and he was just taxiing it back to his hangar. He was watching his wingtip clearance to his right and said he never looked to his left where I was located. He also stated he hadn't felt well that day and seemed a bit dazed by what had just happened. Contributing factors were his physical/mental health being less than ideal; his failure to adequately clear his taxi route and taxiing too fast. My propeller substantially damaged approximately 12 inches of his left wingtip. My prop and windshield were also damaged. My engine will require an inspection to determine if it was damaged.",,,,"Pilot reported a taxiing aircraft collided with their parked aircraft on the ramp.",
2303603,202511,1801-2400,ZZZ.ARTCC,US,,,,7500,,VMC,,,Night,,,Center ZZZ,FBO,Skyhawk 172/Cutlass 172,,2,Part 91,VFR,Training,,Cruise,Direct,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor,Flight Crew Last 90 Days 65; Flight Crew Total 1317; Flight Crew Type 69,,Time Pressure; Troubleshooting; Workload,,,2303603,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Landed in Emergency Condition; Flight Crew Diverted; Flight Crew Overcame Equipment Problem; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed,Aircraft,Aircraft,"The flight was planned from ZZZ2 to ZZZ3 to ZZZ4 and then back to ZZZ2. Overall; the flight was planned for just under 3 hours. Weather and airfield information supported our flight. The preflight; ground operations; and initial departure were uneventful. After takeoff; ATC permitted navigation and altitude at our discretion. We climbed to 7500 FT enroute to ZZZ3. Approximately 40 minutes into the flight; I detected abnormal engine sounds and reduced engine performance. I then immediately took action to maintain positive aircraft control while the pilot not flying continued to analyze the instruments. After recognizing the issue was engine related; I told the pilot not flying to find the nearest airport for a precautionary landing. The closest airport was ZZZ1. I began a turn directly to ZZZ1 while capturing the appropriate glide airspeed per the flight manual. While I was doing this the pilot not flying began checklist procedures for engine roughness/misfire. After the pilot not flying completed the checklist; engine performance was remedied. From there we could once again maintain airspeed and altitude. With the added engine performance; I began a climb as we approached ZZZ1 in case the engine completely failed. After the pilot not flying completed the emergency and normal checklists; the pilot not flying continued to gather information about ZZZ1 to prepare for the landing. As we continued to ZZZ1; we realized that we might be able to safely arrive at ZZZ. ZZZ was more suitable because unlike ZZZ1; the runway was longer; paved and illuminated. As such; we continued to climb enroute to ZZZ1 to maximize options so that if the engine failed we would still be able to land at ZZZ1 but also if we could gain enough altitude we could safely arrive at ZZZ with safer landing condition. Once the pilot not flying said we gained enough altitude to safely glide to ZZZ; we began heading to ZZZ. During this time the pilot not flying continued to coordinate with ATC and requested priority handling. Later ATC cleared us to switch to CTAF frequency. The pilot not flying made the CTAF calls to announce our intentions. The pilot not flying also activated the runway lighting system. I continued to maintain positive control of the aircraft and performed a safe landing on Runway XX. After landing we taxied to park and shutdown the engine. After shutdown; the pilot not flying immediately informed ATC of our arrival by phone. I do not know what caused the issue but using the checklist greatly helped the situation.",,,,"A C172 pilot reported a rough running engine and diverted to a nearby suitable airport.",
2303771,202511,1801-2400,ZZZ.Airport,US,,,0,,,,,,,,,Ramp ZZZ,Air Carrier,A321,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Physiological - Other; Time Pressure,,,2303771,,,,,,,,,,,,Aircraft Equipment Problem Critical; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor; Flight Deck / Cabin / Aircraft Event Illness / Injury,,,Person Flight Attendant; Person Flight Crew,Taxi,Flight Crew Returned To Gate; General Flight Cancelled / Delayed; General Physical Injury / Incapacitation,Aircraft; Environment - Non Weather Related,Aircraft,"During pushback; flight attendants reported an electrical burning smell in the aft cabin; but it dissipated quickly.  After second engine start the entire aircraft including the flight deck filled with strong fuel fumes.  Immediate return to gate. All crew members taken to hospital for tests of carbon monoxide poisoning.   All crew members had varying levels of carbon monoxide poisoning.  Crew deadheaded back following day.Cause: Repeat write up on this aircraft and known airbus issue.",,,,"A321 pilot reported fumes in cabin and cockpit during push back resulting in a return to the gate. Crew members went to the hospital where they were found to have signs of CO poisoning.",
2303795,202511,,ZZZ.Airport,US,,,0,,,,,,,,,Tower ZZZ,Air Carrier,A320,,2,Part 121,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,Airspeed Indicator,,X,Failed; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,,,,2303795,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Rejected Takeoff; Flight Crew Returned To Gate; General Flight Cancelled / Delayed,Aircraft,Aircraft,"The flight was delayed due to maintenance swapping the number 1 and 3 ADIRUs and deferring the number 3. All indications were normal as we taxied to and lined up on runway XX. I set the thrust in the flex temp and cross checked the instruments; indications were normal.  As the aircraft built speed going down the runway; I could tell that my airspeed indications were slow to come up. At the 80 kt check; my airspeed had just started to register. At about the same time; I got red flashing FD (Flight Director) and multiple ECAM cautions. I called the abort and brought the thrust levers to max reverse.  I tried to disconnect the auto brakes and take over manually to make the abort less violent; but they wouldn't disconnect.  We came to a stop on the runway with the auto brakes still in max. I told my FO to disconnect the brakes; he cycled the anti-skid switch and the brakes disconnected.  I gave the remain in your seats PA to the flight attendants and passengers.  We exited the runway and taxied back to the gate. On our first leg; ZZZ1 to ZZZ; we got an unreliable airspeed on takeoff. We followed the procedure and determined that the airspeed on the captains PFD (Primary Flight Display) was unreliable. We switched Air Data to Capt 3 on the Switching panel and that restored my airspeed.  I ACARSed dispatch and let them know of the problem and that we would need maintenance in ZZZ. We continued to ZZZ without further incident. That was the reason for the maintenance in ZZZ; we can't defer ADIRU 1.  Whatever the mechanics did in ZZZ; made the problem worse.",,,,"A320 flight crew reported unreliable airspeed indicator during takeoff roll. Flight crew rejected takeoff.",
2303835,202511,1201-1800,ZZZZ.Airport,FO,,,0,,,VMC,,,,,,,Air Carrier,B777 Undifferentiated or Other Model,,4,Part 121,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,,,,2303835,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,,,,2303884,Aircraft Equipment Problem Critical,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Returned To Gate; Flight Crew Rejected Takeoff; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed,Aircraft,Aircraft,"At approximately 130 kts we received a master warning engine failure message. I rejected the take off and we accomplished the rejected takeoff off checklist and all appropriate checklists. After CFR (Crash Fire Rescue) cleared the aircraft we cleared the runway to let the brakes cool. After brakes cooled we were towed to the gate",,"On takeoff roll prior to V1 at approximately 130 KIAS I noticed a master caution light; a red ENG FAIL WARNING then we subsequently rejected the takeoff. We executed the rejected takeoff checklist and subsequent checklists. Passing 80 KIAS I called the Tower and informed them we are rejecting and requested (CFR) Crash Fire Rescue. There was no need for an evacuation. We stayed on runway until CFR arrived and we were in communication. Once it was clear we were safe to proceed and cleared the runway we then coordinated for a tug and got towed back to the gate uneventfully",,"B777 flight crew reported engine failure on takeoff roll. Flight crew rejected the takeoff.",
2303861,202511,1801-2400,ZZZ.Airport,US,,,0,,,VMC,,,,,,Ramp ZZZ,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Engine Starting System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,,,,2303861,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Confusion,,,2303870,Aircraft Equipment Problem Critical; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,,Automation Aircraft Other Automation,Taxi,Flight Crew FLC complied w / Automation / Advisory; Flight Crew Returned To Gate; General Flight Cancelled / Delayed,Aircraft,Aircraft,"After a standard pushback and a normal start on engine two the First Officer proceeded to start engine one. The First Officer stated that N2 was not observed. The First Officer then questioned if the bleeds were configured correctly. We verified the configuration to be correct. We then attempted another start on engine one; once again no N2 was observed along with a starter valve open indication. We then entered a logbook entry for engine failure to start with no N2 observed. We called Dispatch and asked for a patch with Maintenance Control. Maintenance Control notified us that a gate return was necessary. After coordinating with Operations and Ramp that we needed to return to the gate. Approximately five minutes had passed a master fire alarm for the number one engine illuminated along with the associated bells. We then actioned ENGINE OVERHEAT; immediate action items. That directed us to the ENGINE FIRE or ENGINE SEVERE DAMAGE or SEPARATION checklist; followed by the QRC/QRH. We then advised that we had an indication of a fire in the number one engine and requested ARFF (Airport Rescue and Firefighting). I then called the purser to view the number one engine and see if there was any indication of smoke or fire. The purser stated no observable; fire or smoke; and she stated that she would keep an eye on the number one engine. Ramp gave no indication of observable; fire or smoke. ARFF arrived and indicated there wasn't any observable fire or smoke. We then coordinated a gate return after Airport Rescue and Firefighters indicated all clear.",,"We pushed back early from Gate XX. It is a very short taxi so we briefed starting both engines. Engine #2 started normally. The Captain then requested that I start engine #1 per SOP. I attempted to start the engine but observed zero rotation on our display. I aborted the start and we agreed that the pneumatic panel was correctly configured. We then attempted two more starts; both unsuccessful. At this point we contacted Maintenance Control and they advised us that a pin in the start motor had likely failed and that we needed to return to the gate for Maintenance. While we sat on the ramp with engine #2 operating and engine #1 off we were alerted by a master warning that engine #1 was overheating. All indications were zero with the exception of oil temperature that was over 100 degrees and rising rapidly. This was very confusing because that engine was not operating. We began to use the QRC; specifically the Engine Overheat QRC. As we completed this checklist we observed the oil temp to continue to rise. The QRC directed us to the Engine Fire or Engine Severe Damage or Separation QRC. We pulled the fire handle and twisted the handle per the checklist. After 30 seconds we twisted the handle the other way 'blowing both bottles'. We continued the checklist until the QRC/QRH items were completed. During this procedure the Captain requested ARFF (Airport Rescue and Firefighting) and coordinated with our Lead Flight Attendant to ascertain if she could see smoke or fire on engine #1. At this point the high oil temperature began to decrease and we decided it would be safe to return to the gate and requested that the firefighters continue to monitor our airplane while we parked and performed a parking checklist and safely deplaned.",,"B737 flight crew reported an overheat and subsequent fire indication on engine during push back. Crew secured engine and returned to gate.",
2303889,202511,,ZZZ.Airport,US,,,0,,,VMC,,,,,,Tower ZZZ,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,Throttle/Power Lever,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,,,,2303889,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Flight Crew Rejected Takeoff; Flight Crew Returned To Gate; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,"We completed preflight duties; push back; and taxi out uneventfully. When cleared for takeoff I set 40% N1 and allowed the engines to stabilize. I then stood the thrust levers up and selected the TOGA switch. When the auto throttles engaged; I felt the left thrust lever advance to a greater TLA (Throttle Lever Angle) than the right and the aircraft began to be pushed to the right as a result of the asymmetrical thrust. I called for a rejected takeoff; performed the appropriate actions; and ran the RTO (Rejected Takeoff) checklist. I estimate our top speed during the takeoff roll to be 20 knots. We contacted maintenance and ultimately elected to return to the gate where maintenance personnel pulled the aircraft from service in order to complete inspections and repairs as needed.",,,,"Air carrier Captain reported a rejected takeoff due to asymmetrical thrust. Flight returned to gate.",
2303985,202511,0601-1200,ZZZ.Airport,US,,,0,,,,,,,,,Ramp ZZZ,Air Carrier,A321,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,,,,2303985,,,,,,,,,,,,Aircraft Equipment Problem Critical; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,,Person Flight Crew; Person Flight Attendant,Taxi,Flight Crew Returned To Gate; General Flight Cancelled / Delayed; General Evacuated,Aircraft,Aircraft,"During pushing inflight crew called and reported there was a burning smell in the aft of the aircraft and that they were in the process of locating the source. After the second engine started; inflight informed us the smell had become stronger. In the flight deck the smell of fuel became very clear. After a discussion and evaluating the situation we determined that returning to the gate was the safest option for the passengers and crew. After deplaning the entire crew was transported to the hospital and was found to have higher than normal levels of CO2 in our blood.Cause: Repeat write up for this aircraft. The only way to prevent this from happening again is to locate source of fumes.",,,,"Air carrier pilot reported while being pushed back from the gate being advised from the cabin crew of a burning smell in the aft of the aircraft and the flight crew experienced a fuel smell in the flight deck resulting in the flight crew returning to the gate and deplaning the passengers and crew.",
2303987,202511,1201-1800,ZZZ.Tower,US,,,1400,,,IMC,Rain,,Daylight,,,TRACON ZZZ,Air Carrier,B737-800,,2,Part 121,IFR,Passenger,,Final Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Workload,,,2303987,,,,,,,,,,,,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control; Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Executed Go Around / Missed Approach; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed,Human Factors; Manuals; Procedure,Procedure,"During normal arrival phase in weather ATC vectored us behind a 777 to intercept the final approach course at 2;500 feet outside of ZZZZZ; cleared us for the approach; and instructed us to maintain 180 IAS to ZZZZZ1 (FAF). As PM I noticed the decreasing range to the heavy aircraft in front and instructed the FO (First Officer) (PF) to start slowing 2 miles early; however on switch to the Tower the Tower Controller told us the separation wasn't going to work and directed a go around at approximately 1;400 AGL to 2;000' and runway heading. We were IMC almost the whole time. FO did a great job and the GA and subsequent approach were normal.Cause: It was a rainy; windy; low visibility day in the area. Approach Controller put us in a high workload corner and the Tower Controller made the GA call since we were IMC. The obvious mitigation is more separation with heavy 777 traffic. It just didn't work today for an approach however we had fuel and time on our side. I could tell the strain on ATC is starting to show. They remained professional and noticeably measured in tough conditions.",,,,"B737 Captain reported ATC issued go around instructions on short final due to less than required spacing behind a preceding heavy jet.",
2303995,202511,0001-0600,VTBS.Airport,FO,,,,,,,,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Cargo / Freight / Delivery,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,,,,2303995,,,,,,,,,,,,Ground Event / Encounter FOD,,,Person Flight Crew,,Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Gate; General Flight Cancelled / Delayed; General Maintenance Action,Airport,Airport,"When taking the active Runway 20L in BKK we suddenly noticed rocks covering the takeoff area and giant chunks of asphalt. It seems that previous departing aircraft blew a hole in the runway. I turned to taxi past it on the left edge of the runway and notified Tower. Aircraft Y's crew said our right engine went over an area of rocks. So we shut down the right engine and taxied back to the gate. We wrote it up to FOD check both engines. Aircraft signed off after inspection and engine run. Cause: Previous aircraft blew a hole in the runway on takeoff. It appeared that the hole was from a previous patch.",,,,"Air carrier Captain reported a previous departing aircraft blew a hole in the runway at BKK and due to the rocks and giant chunks of asphalt now present on the takeoff area; the flight crew taxied back to the gate to check for potential FOD damage.",
